id,episode_number,Title,season_number,season_title
788,789,Rotom VS Professor Oak,16,Black and White: Adventures in Unova and Beyond
789,790,The Pirate King of the Decolora Archipelago!,16,Black and White: Adventures in Unova and Beyond
790,791,Ash and Butterfree! Until the Day We Meet Again!!,16,Black and White: Adventures in Unova and Beyond
791,792,Ash and Iris Break It Off!? Highway to Separation!!,16,Black and White: Adventures in Unova and Beyond
792,793,Wish Upon Jirachi! The Seven Days Miracle!!,16,Black and White: Adventures in Unova and Beyond
793,794,Shining Flying Saucer! Beheeyem's Town!!,16,Black and White: Adventures in Unova and Beyond
794,795,Alexa Appears! Helioptile & Gogoat!!,16,Black and White: Adventures in Unova and Beyond
795,796,The Mystery of the Treasure! Adventure on an Uninhabited Island!!,16,Black and White: Adventures in Unova and Beyond
796,797,Clair & Iris! The Shiny Druddigon!!,16,Black and White: Adventures in Unova and Beyond
797,798,Noivern Appears! The Legend of the Comet & the Hero!!,16,Black and White: Adventures in Unova and Beyond
798,799,GoGo Gogoat!,16,Black and White: Adventures in Unova and Beyond
799,800,Emolga Joins Team Rocket !,16,Black and White: Adventures in Unova and Beyond
800,801,Cilan VS The Ice Challenger! The Crisis at Striation Gym!!,16,Black and White: Adventures in Unova and Beyond
801,802,Best Wishes! Until The Day We Meet Again!!,16,Black and White: Adventures in Unova and Beyond
802,803,"My Dream, Pokémon Master!!",16,Black and White: Adventures in Unova and Beyond
803,804,We've Come to Kalos Region! Dreams and Adventures Begin!,17,XY
804,805,Mega Evolution and the Prism Tower!,17,XY
805,806,Froakie VS Fletchling! Air Maneuver Battle!!,17,XY
806,807,Pikachu & Dedenne! Nuzzle!!,17,XY
807,808,Santalune Gym Match! The Vivillon's Elegant Dance Battle!,17,XY
808,809,Decisive Battle on Ice! Pikachu VS Vivillon!,17,XY
809,810,Leave it to Serena! Rampaging Rhyhorn Race!,17,XY
810,811,Pokémon Trimmer & Furfrou!!,17,XY
811,812,Capture Lumiose Gym! Clemont's Secret!,17,XY
812,813,Chespin VS Mega Mega Meowth!,17,XY
813,814,A Chase Through the Bamboo Grove! Pancham & Pangoro!!,17,XY
814,815,Catch the Pokémon Buyer! Operation: Spewpa Disguise!!,17,XY
815,816,Sylveon VS Froakie! Commotion in Kindergarten!!,17,XY
816,817,Spooky Shelter! Espurr Watches You!!,17,XY
817,818,Chespin VS Delphox! Diet Battle!?,17,XY
818,819,Dedenne is Pichu and Pichu is Dedenne...!?,17,XY
819,820,Froakie VS Frogadier! Ninja Battle!,17,XY
820,821,Wake Up Snorlax! Battle in Parfum Palace!!,17,XY
821,822,Madame X's Evil Plot! The Terrifying Malamar!!,17,XY
822,823,The Battle Chateau Challenge! Viola VS Grant!!,17,XY
823,824,Time to Debut! PokéVision with Serena and Fennekin!!,17,XY
824,825,Fish the Golden Magikarp!,17,XY
825,826,The Aurora Bond! Amaura and Aurorus!!,17,XY
826,827,The Castle on the Seabed! Skrelp & Dragalge!!,17,XY
827,828,The Cyllage Gym Match! Pikachu VS Tyrunt!!,17,XY
828,829,Swirlix and Slurpuff!! A Sweet Fight Gets Anything But Sweet!?,17,XY
829,830,Flabébé and the Fairy Flower!,17,XY
830,831,Enter Champion Dianthe! Mega Gardevoir in Mist!!,17,XY
831,832,Ta-da! A Fake Ash Appears!!,17,XY
832,833,Korrina and Lucario! The Secrets of Mega Evolution!!,17,XY
833,834,Lucario VS Blaziken! The Cave of Trials!!,17,XY
834,835,Mega Lucario VS Mega Lucario! A Storm of Aura!!,17,XY
835,836,Hearts Calling Out to One Another! Go Beyond Aura!,17,XY
836,837,Mega Lucario VS Mega Mawile! The Mega Evolution Bond!!,17,XY
837,838,The Forest Champion! Enter Hawlucha!!,17,XY
838,839,A Sky Battle?! Hawlucha VS Talonflame!!,17,XY
839,840,Reflection Cave! Ash and the Ash Through the Looking-Glass?,17,XY
840,841,The Trevenant from the Wriggling Forest!,17,XY
841,842,Pokémon Summer Camp! Enter the Rival Trio!!,17,XY
842,843,Serena VS Shauna! PokéVision Showdown!!,17,XY
843,844,PokéEnteering! The X in the Mist!,17,XY
844,845,Team Battle! Competing for the Hall of Fame!,17,XY
845,846,The Tower of Mastery! The History of Mega Evolution!,17,XY
846,847,Shalour Gym Match! Pikachu VS Mega Lucario!!,17,XY
847,848,Clemont VS Bonnie!? A Sibling Battle With Meowstic!!,17,XY
848,849,The Clumsy Wigglytuff VS the Rampaging Salamence!!,17,XY
849,850,Serena Catches Her First Pokémon!? Pancham VS Fennekin!!,17,XY
850,851,Clemont's Campus of Memories! An Electrifying Reunion!!,17,XY
851,852,"Mobilise, Lapras Defense Corps! Bonnie Does Her Best!!",17,XY
852,853,"Dance, Pancham; Charm the Crowd, Fennekin! Waltz Towards Tomorrow!!",18,XY: Kalos Quest
853,854,Hawlucha & Dark Hawlucha!!,18,XY: Kalos Quest
854,855,Ninja Art Showdown! Frogadier VS Barbarcle!!,18,XY: Kalos Quest
855,856,Serena Gets Serious! The Wild Skiddo Race!!,18,XY: Kalos Quest
856,857,Malamar VS Inkay! A Bond That Saves the World !!,18,XY: Kalos Quest
857,858,The Weakest Dragon Ever! Enter Goomy!!,18,XY: Kalos Quest
858,859,Dedenne Does Its Best! All for Goomy!!,18,XY: Kalos Quest
859,860,Vanillite Panic! Left Cold by a Whiteout!!,18,XY: Kalos Quest
860,861,Coumarine Gym Match! Frogadier VS Gogoat!!,18,XY: Kalos Quest
861,862,Ash and Serena's First Date! The Vow Tree and the Present!!,18,XY: Kalos Quest
862,863,Aim to Become Kalos Queen! Serena's Grand Debut!!,18,XY: Kalos Quest
863,864,"Into the Badlands! Fight, Goomy!!",18,XY: Kalos Quest
864,865,Protect the Future of Science! The Labyrinth of Electricity!!,18,XY: Kalos Quest
865,866,Being Lost and Torn is the Road to Separation!? Jessie and Wobbuffet!!,18,XY: Kalos Quest
866,867,Fennekin VS Delphox! A Gorgeous Performance Battle!!,18,XY: Kalos Quest
867,868,Enter Wartortle and Raichu! Sliggoo Does its Best!!,18,XY: Kalos Quest
868,869,Criminal Investigation in Lumiose City! Clembot VS Black Clembot!!,18,XY: Kalos Quest
869,870,Lumiose Gym Match! Ash VS Clemont!!,18,XY: Kalos Quest
870,871,Mega Evolution is Being Targeted! The Bond with Garchomp!!,18,XY: Kalos Quest
871,872,A Fight in the Wetlands! Goodra VS Florges!!,18,XY: Kalos Quest
872,873,"Conclusion! Goodra, Somewhere Over the Rainbow!!",18,XY: Kalos Quest
873,874,The Worst Possible Luck? Bonnie VS Meowth!!,18,XY: Kalos Quest
874,875,The Scary House's Welcoming Services!,18,XY: Kalos Quest
875,876,We Will Have a Battle at the Fashion Show! Bagon VS Spritzee!!,18,XY: Kalos Quest
876,877,Laverre Gym Match! The Beautiful Fairy Trap!!,18,XY: Kalos Quest
877,878,A Best-of-Three Rival Battle! Aim Towards Tomorrow!!,18,XY: Kalos Quest
878,879,"The Wind, The Egg & the Noibat!!",18,XY: Kalos Quest
879,880,"The Pokémon Sky Rally Challenge! Fly, Noibat!!",18,XY: Kalos Quest
880,881,"""Pikachu Becomes a Star!? Its Movie Debut!!""
""How to Pikachu the Movie! Ready! Action!!""
The Thunderclap Hero! Super Pikachu!!
Pikachu's Thrilling Blooper Award",18,XY: Kalos Quest
881,882,A Fierce Fight at the Poké Ball Factory! Pikachu VS Meowth!!,18,XY: Kalos Quest
882,883,Braixen and Pancham! An Entrancing Fire Performance!!,18,XY: Kalos Quest
883,884,Ash Leapt Through Time! Rotom's Wish!,18,XY: Kalos Quest
884,885,"The Gourgeist Festival! Farewell, Pumpkaboo!?",18,XY: Kalos Quest
885,886,Cross the Snow Mountains! Mamoswine and Abomasnow!!,18,XY: Kalos Quest
886,887,Chespin! Its First Errand!!,18,XY: Kalos Quest
887,888,A Broken Twig: A Broken Heart! Braixen's Strong Feelings!!,18,XY: Kalos Quest
888,889,Moltres in Focus! Snap the Legend!!,18,XY: Kalos Quest
889,890,Bonnie Will Take Care of You! The Pampered Tyrunt!!,18,XY: Kalos Quest
890,891,A Train Revisited! Clemont and Bunnelby!!,18,XY: Kalos Quest
891,892,Eevee is Shy with Strangers! The Catcher in the Flowers!!,18,XY: Kalos Quest
892,893,A Tag Battle is a Friendship Battle! Eevee Fights for the First Time!,18,XY: Kalos Quest
893,894,The Happy Dance Comes After a Quiz!? The Anistar Festival Showcase!!,18,XY: Kalos Quest
894,895,A Kalos Crisis! Battle of the Giant Sundial!,18,XY: Kalos Quest
895,896,Double Battle at the Anistar Gym! Olympia's Future Sight!!,18,XY: Kalos Quest
896,897,The Explosive Birth of Z! That Which Lies Hidden in Kalos!!,19,XYZ
897,898,Hot-blooded Quilladin! Squishy is Being Targeted!!,19,XYZ
898,899,Mega Audino VS Giga Giga Meowth!!,19,XYZ
899,900,Litleo and Pyroar! A Fiery Departure!!,19,XYZ
900,901,Pikachu Dreams of Squishy!,19,XYZ
901,902,Welcome to the Ninja Village! The Legend of the Hero Greninja!!,19,XYZ
902,903,Decisive Battle in the Ninja Village! Frogadier VS Bisharp!!,19,XYZ
903,904,"Dance, Eevee! Its Pokémon Showcase Debut!!",19,XYZ
904,905,Terminus Cave! The Mystery of Z is Set in Motion!!,19,XYZ
905,906,Bonnie and Squishie!,19,XYZ
906,907,Noibat and Floette! An Encounter in the Wind!!,19,XYZ
907,908,Ash and Serena! Getting One at a Dance Party!!,19,XYZ
908,909,The Strongest Mega Battle! Greninja VS Mega Charizard!!,19,XYZ
909,910,The Explosive Land's Wrath! Operation: Capture Zygarde!!,19,XYZ
910,911,A Chesnaught from the Wilderness! The Tree-planting Robon!!,19,XYZ
911,912,"The Master Class Trial! What Will You Do, Serena!?",19,XYZ
912,913,Zapdos and Noivern! A Furious Strike of Lightning!!,19,XYZ
913,914,Left and Right! The Indecisive Binacle!!,19,XYZ
914,915,The Master Class Begins! A Maidens' Fight Where Sparks Fly!!,19,XYZ
915,916,Aria VS Serena! Open the Door to the Future!!,19,XYZ
916,917,A Bride for Clemont! Bonnie's S'il-vous-plaît Panic!!,19,XYZ
917,918,Serena Becomes Ash! The Ultimate Pikachu Showdown!!,19,XYZ
918,919,Ash and Alain! Greninja VS Mega Charizard Once Again!!,19,XYZ
919,920,The Forest's Curse and the White Phantump!!,19,XYZ
920,921,Ash VS Champion Diantha! VS Mega Gardevoir!!,19,XYZ
921,922,Rival Showdown! Ash VS Sawyer!!,19,XYZ
922,923,Snowbelle Gym Match! A Battlefield of Ice!!,19,XYZ
923,924,The Winding Woods...The Dawn of Evolution!,19,XYZ
924,925,Ash-Greninja VS Mega Abomasnow! The Giant Water Shuriken Triggers!!,19,XYZ
925,926,Find Carbink! Goodra and Dedenne!!,19,XYZ
926,927,Heatbursts at the Ingenuity Festival!,19,XYZ
927,928,The Kalos League Begins! Mega Charizard Showdown: X VS Y!!,19,XYZ
928,929,Mega Sceptile VS Raichu! I Received Some EXP!!,19,XYZ
929,930,Semifinal Full Battle! Ash VS Sawyer!!,19,XYZ
930,931,Fierce Rival Battle! Ash-Greninja VS Mega Sceptile,19,XYZ
931,932,"Fierce Fighting at the Kalos League! Gather, All of My Passion!!",19,XYZ
932,933,The Finals! Ash VS Alain!!,19,XYZ
933,934,Kalos League Victory! Ash's Ultimate Match!!,19,XYZ
934,935,Team Flare Attacks! The Zygarde at the Prism Tower!!,19,XYZ
935,936,The Shocking Zygarde VS Zygarde! The Breaking World!!,19,XYZ
936,937,Attack on Lumiose Gym! The Citroid Forever!!,19,XYZ
937,938,The Megalith Advances! Kalos' Defense Line!!,19,XYZ
938,939,Zygarde Fights Back! The Final Battle for Kalos!!,19,XYZ
939,940,We Start at Zero! Clemont's Decision!!,19,XYZ
940,941,One Last Battle with Ash! Serena's Choice!!,19,XYZ
941,942,"Farewell, Ash-Greninja! Xerosic Strikes Back!!",19,XYZ
942,943,A Zero With No End! Till the Day We Meet Again!!,20,Sun & Moon
943,944,"Alola! New Islands, New Pokémon!!",20,Sun & Moon
944,945,Enter the Guardian Deity Tapu Koko! Let Us Attempt To Master Our Z-Move!,20,Sun & Moon
945,946,"Good Rotomorning, I am the Rotomdex, Roto!",20,Sun & Moon
946,947,Enter Rowlet! I Got A Pokémon in Alola!!,20,Sun & Moon
947,948,"Popplio, Do Your Balloonest!",20,Sun & Moon
948,949,Zing Zap Togedemaru!,20,Sun & Moon
949,950,"The Marketplace Wanderer, Litten!",20,Sun & Moon
950,951,Who's in Charge of the Egg?,20,Sun & Moon
951,952,The Totem Pokémon is Gumshoos!,20,Sun & Moon
952,953,Will the Z-Move Work?! Challenging the Grand Trial!!,20,Sun & Moon
953,954,Ash visits Kiawe!,20,Sun & Moon
954,955,The Extracurricular Lesson is on Mareanie?!,20,Sun & Moon
955,956,The Great Alola Pancake Race!,20,Sun & Moon
956,957,The Fruit of Courage: Lillie and Vulpix!,20,Sun & Moon
957,958,"Scratchmark Hill, Rockruff and Lycanroc!!",20,Sun & Moon
958,959,A Tiny Trio on a Big Adventure!!,20,Sun & Moon
959,960,Alola Detective Rotom! The Mystery of the Lost Crystal!!,20,Sun & Moon
960,961,For Real?! Mallow's Cooking Operation!,20,Sun & Moon
961,962,Intense Electric Shock Training! A Rematch with Tapu Koko!!,20,Sun & Moon
962,963,The Promise Between Ash and Pikachu,20,Sun & Moon
963,964,It is Time for Litten to Set Off!!,20,Sun & Moon
964,965,Beware of Shovels!!!,20,Sun & Moon
965,966,Here's a Real Shocker! A Dugtrio Split-Up?!,20,Sun & Moon
966,967,Alola! The First Visitation Day!!,20,Sun & Moon
967,968,The Fight Over the Crystal! Team Rocket VS Team Skull!!,20,Sun & Moon
968,969,"Farewell, Sophocles!",20,Sun & Moon
969,970,"Come Forth, Lycanroc with the Crimson Look!!",20,Sun & Moon
970,971,The Fierce Pokébase Match! Aim for a Home Run to Turn the Tide!!,20,Sun & Moon
971,972,"Hey Mush, Are You Going to Sleep in the Morelull Forest Too?",20,Sun & Moon
972,973,"Lillie, Take Good Care of Pikachu",20,Sun & Moon
973,974,"Enter Olivia! Cry and Laugh, Island Queen!!",20,Sun & Moon
974,975,We Found a Treasure! Stoutland Search!!,20,Sun & Moon
975,976,"Little Wishiwashi Isn't Lacking, It's the Lord of the Lake!",20,Sun & Moon
976,977,A Fire Battle! Marowak Shows Up!,20,Sun & Moon
977,978,A Curry-zy Beautiful Battle! The Dance of Lurantis!,20,Sun & Moon
978,979,Olivia's Grand Trial! The Hardest Pokémon Match Ever!!,20,Sun & Moon
979,980,Rockruff and the Guardian Diety of the Ruins of Life,20,Sun & Moon
980,981,Mimikyu's Disguise!,20,Sun & Moon
981,982,Mallow the Runaway and Oranguru!,20,Sun & Moon
982,983,"Popplio, Brionne and the An-chor-gry Dhelmise!",20,Sun & Moon
983,984,"Dash, Charjabug!",20,Sun & Moon
984,985,An Alola! in Kanto! Brock & Misty!!,20,Sun & Moon
985,986,Gym Battle! Z-Move VS Mega Evolution!!,20,Sun & Moon
986,987,Ash and Nebby! A Mysterious Encounter!!,21,Sun & Moon: Ultra Adventures
987,988,Nebby's Panic! The Teleport Happened Suddenly!!!!,21,Sun & Moon: Ultra Adventures
988,989,"C'mon, Search for the Transformed Ditto!",21,Sun & Moon: Ultra Adventures
989,990,Gladion & Silvally! The Confinement Mask!!,21,Sun & Moon: Ultra Adventures
990,991,Strike a Fully Powered Pose for a Sleepover!,21,Sun & Moon: Ultra Adventures
991,992,Lillie & Silvally: Memories Reborn!,21,Sun & Moon: Ultra Adventures
992,993,Faba Strikes Back! Nebby Gets Abducted!!,21,Sun & Moon: Ultra Adventures
993,994,EffortfuLillie! A Determined Runaway Act!,21,Sun & Moon: Ultra Adventures
994,995,The Altar of the Sunne! Solgaleo Descends!!,21,Sun & Moon: Ultra Adventures
995,996,Hurry Up! Operation: Rescue Lusamine!!,21,Sun & Moon: Ultra Adventures
996,997,"Shine, Z-Power Ring! A Super Fully Powered 10,000,000 Volt Thunderbolt!!",21,Sun & Moon: Ultra Adventures
997,998,"Thank You, Solgaleo! You are Our Nebby!!",21,Sun & Moon: Ultra Adventures
998,999,A Strong Sleeper: Komala's Secret,21,Sun & Moon: Ultra Adventures
999,1000,Rotom Won't Stop Undergoing Forme Change!,21,Sun & Moon: Ultra Adventures
1000,1001,"Don't Cry-de, Mareanie!",21,Sun & Moon: Ultra Adventures
1001,1002,Mallow & Lana: Bittersweet Memories!,21,Sun & Moon: Ultra Adventures
1002,1003,Lillie is Soaring Through The Air! The PokéSled Jump Tournament,21,Sun & Moon: Ultra Adventures
1003,1004,Set Off! You Are Our Ultra Guardians!!,21,Sun & Moon: Ultra Adventures
1004,1005,The Dark Meowth is Alolan Meowth!?,21,Sun & Moon: Ultra Adventures
1005,1006,"Burn with Passion, Litten! Down with Incineroar!!",21,Sun & Moon: Ultra Adventures
1006,1007,Ash and Passimian! A Touchdown of Friendship!!,21,Sun & Moon: Ultra Adventures
1007,1008,Ilima and Eevee Have Ilimade Their Entrance!!,21,Sun & Moon: Ultra Adventures
1008,1009,Smashing with Sketch! The Fierce Poké-Ping Pong Match!!,21,Sun & Moon: Ultra Adventures
1009,1010,Pika Pika Sparkling Love! Poipole Spins Round and Round!!,21,Sun & Moon: Ultra Adventures
1010,1011,Work Experience! Around the Clock with the Pokémon Center!,21,Sun & Moon: Ultra Adventures
1011,1012,"Shine On, Starship Celesteela!",21,Sun & Moon: Ultra Adventures
1012,1013,Protect the Farm! The Blue Flame Strikes Back!!,21,Sun & Moon: Ultra Adventures
1013,1014,Dewpider gets Lana!,21,Sun & Moon: Ultra Adventures
1014,1015,"Ta-Dough! Burn with Passion, Mallow's Family!",21,Sun & Moon: Ultra Adventures
1015,1016,"Team Rocket, Get a Z-Ring!!",21,Sun & Moon: Ultra Adventures
1016,1017,This Tough Old Geezer's the Island Kahuna?!,21,Sun & Moon: Ultra Adventures
1017,1018,Tapu Bulu! Intense Slacker Training!!,21,Sun & Moon: Ultra Adventures
1018,1019,The Decisive Super Battle! Pikachu VS Mimikyu!!,21,Sun & Moon: Ultra Adventures
1019,1020,Nanu's Grand Trial! The Awakening of Lycanroc!,21,Sun & Moon: Ultra Adventures
1020,1021,Ultra Beast Clash! Operation: Boom Boom Crackle!!,21,Sun & Moon: Ultra Adventures
1021,1022,Minior and Poipole: A Promise that Got Lost in the Starry Skies!,21,Sun & Moon: Ultra Adventures
1022,1024,A Sandshrew's Storm! An Ice Hole Double Battle!!,21,Sun & Moon: Ultra Adventures
1023,1024,The Young Flame of Alola! The Birth of Royal Ash!!,21,Sun & Moon: Ultra Adventures
1024,1025,Won't You Give us a Dance Dance Evolution?,21,Sun & Moon: Ultra Adventures
1025,1026,Ash Becomes Tiny,21,Sun & Moon: Ultra Adventures
1026,1027,The Shape of Family: Poipole's Feelings!,21,Sun & Moon: Ultra Adventures
1027,1028,Leap 'n' Climb: Stakataka!,21,Sun & Moon: Ultra Adventures
1028,1029,I Choose Here! The Pokémon Steam Paradise!!,21,Sun & Moon: Ultra Adventures
1029,1030,Crisis in Alola! The Darkness that Eats Radiance!!,21,Sun & Moon: Ultra Adventures
1030,1031,Lunala VS UB: BLACK! A Battle at Full Moon!!,21,Sun & Moon: Ultra Adventures
1031,1032,A Prism of Light and Darkness: Its name is Necrozma!,21,Sun & Moon: Ultra Adventures
1032,1034,Connect to the Future! The Legend of the Blinding One!!,21,Sun & Moon: Ultra Adventures
1033,1034,It's an Outbreak-chu! The Pikachu Valley!!,21,Sun & Moon: Ultra Adventures
1034,1035,Kukui Up Against the Wall! A Second Masked Royal!!,21,Sun & Moon: Ultra Adventures
1035,1036,The Hero Lilliel and the Alolan Cane!,22,Sun & Moon: Ultra Legends
1036,1037,Ghost Pokémon Everywhere! Everyone's Haunted House!!,22,Sun & Moon: Ultra Legends
1037,1038,"Wela Volcano: The Graveler, the Golem and the Hikers!",22,Sun & Moon: Ultra Legends
1038,1039,Team Rocket & Stufful!,22,Sun & Moon: Ultra Legends
1039,1040,Dartrix the Master!!! Rowlet the Sleeperzzz,22,Sun & Moon: Ultra Legends
1040,1041,The Duo Splits Up!? Ash & Rotom,22,Sun & Moon: Ultra Legends
1041,1042,Where is Eevee Going? To the End of the World for the Sake of a Meeting!,22,Sun & Moon: Ultra Legends
1042,1043,The Lightning that Blocks Wind! Its name is Zeraora,22,Sun & Moon: Ultra Legends
1043,1044,Fire it Off! The Twin Gigavolt Havoc of Friendship!!,22,Sun & Moon: Ultra Legends
1044,1045,An Alola! in Alola! Brock and Misty!,22,Sun & Moon: Ultra Legends
1045,1046,A Passionate Heart That Smashes Even Rocks! Olivia and Brock!!,22,Sun & Moon: Ultra Legends
1046,1047,Research Projects on Poni Island! Find the Island Kahuna!!,22,Sun & Moon: Ultra Legends
1047,1048,Lycanroc Showdown! Ash VS Gladion!!,22,Sun & Moon: Ultra Legends
1048,1049,We Have the Sea and We Have Valleys! Pokémon Evolution Training!!,22,Sun & Moon: Ultra Legends
1049,1050,"Run, Kiawe! Surpass Yourself!!",22,Sun & Moon: Ultra Legends
1050,1051,In Tapu Fini's Mist,22,Sun & Moon: Ultra Legends
1051,1052,An Island Kahuna is Born! Ash's Grand Trial!!,22,Sun & Moon: Ultra Legends
1052,1053,Hole in One at PokéGolf,22,Sun & Moon: Ultra Legends
1053,1054,Arrival in Alola! Melty Metal Panic!!,22,Sun & Moon: Ultra Legends
1054,1055,A New Species Has Been Discovered! I Got a Meltan!!,22,Sun & Moon: Ultra Legends
1055,1056,A New Show?! The Tiny Melody of Magikarp,22,Sun & Moon: Ultra Legends
1056,1057,Beauty and the Meowth!,22,Sun & Moon: Ultra Legends
1057,1058,"Guzma, Emperor of Destruction!",22,Sun & Moon: Ultra Legends
1058,1059,Lillie and the Secret Ingenuity Princess,22,Sun & Moon: Ultra Legends
1059,1060,"Shaymin, Meltan and Sandy! Lost Explorers!!",22,Sun & Moon: Ultra Legends
1060,1061,Aim for the Top Floor! The Explosive Dragon Gym!!,22,Sun & Moon: Ultra Legends
1061,1062,Superspeed Vikavolt! The Awakening of Sophocles!!,22,Sun & Moon: Ultra Legends
1062,1063,Lana Hooks a Kyogre?!,22,Sun & Moon: Ultra Legends
1063,1064,Mallow's Valiant Effort! The Forest Pokémon Café!!,22,Sun & Moon: Ultra Legends
1064,1065,You're Being Watched! Team Rocket's Alola Forms!!,22,Sun & Moon: Ultra Legends
1065,1066,Master the Z-Move! Kiawe's Fierce Boot Camp!!,22,Sun & Moon: Ultra Legends
1066,1067,Perfect Sharpness! Kartana has Arrived!,22,Sun & Moon: Ultra Legends
1067,1068,Ash: A Timeless Encounter,22,Sun & Moon: Ultra Legends
1068,1069,Pikachu's Exciting Expedition!,22,Sun & Moon: Ultra Legends
1069,1070,Gladion & Lillie! Chasing a Father's Phantom!!,22,Sun & Moon: Ultra Legends
1070,1071,The Curtain Rises! The Alola Pokémon League!!,22,Sun & Moon: Ultra Legends
1071,1072,Brawl! Battle Royal 151!!,22,Sun & Moon: Ultra Legends
1072,1073,Mallow & Lana! A Fully Powered Battle of Friendship!!,22,Sun & Moon: Ultra Legends
1073,1074,Jessie VS James! A Battlefield of Love and Truth!!,22,Sun & Moon: Ultra Legends
1074,1075,Overcome Decidueye!!,22,Sun & Moon: Ultra Legends
1075,1076,A Birdacious Battle! Brave Bird VS Sky Attack!!,22,Sun & Moon: Ultra Legends
1076,1077,Everyone's Fully Powered! The Road to the Semifinals!!,22,Sun & Moon: Ultra Legends
1077,1078,The Semifinals! Kiawe VS Gladion!,22,Sun & Moon: Ultra Legends
1078,1079,Rising Fire! More Than One Rival!!,22,Sun & Moon: Ultra Legends
1079,1080,Guzma the Undefeated,22,Sun & Moon: Ultra Legends
1080,1081,The Finals! The Ultimate Rival Showdown!!,22,Sun & Moon: Ultra Legends
1081,1082,He's Born! The Alolan League Winner!,22,Sun & Moon: Ultra Legends
1082,1083,Guzzlord Attacks! The Decisive Z-Move Battle!!,22,Sun & Moon: Ultra Legends
1083,1084,Final Battle! Ash VS Kukui!!,22,Sun & Moon: Ultra Legends
1084,1085,Burn with Passion! Get Filled with Intensity! A Full Battle!!!,22,Sun & Moon: Ultra Legends
1085,1086,Conclusion! Incineroar VS Torracat!!,22,Sun & Moon: Ultra Legends
1086,1087,The Greatest Z in Alola! Tapu Koko VS Pikachu!,22,Sun & Moon: Ultra Legends
1087,1088,"The Sun, the Moon and Everyone's Dreams!",22,Sun & Moon: Ultra Legends
1088,1089,"Thank You, Alola! Respective Departures!!",22,Sun & Moon: Ultra Legends
1089,1090,Pikachu is Born!!,23,Journeys
1090,1091,"On Lugia They Go, Ash and Goh!",23,Journeys
1091,1092,"Ivysaur is Quite Mysterious, Don't You Think So?",23,Journeys
1092,1093,Let's Go to the Galar Region! An Encounter with Scorbunny!!,23,Journeys
1093,1094,Snorlax Grows Gigantic?! The Mystery of Dynamax!!,23,Journeys
1094,1095,I'm Gonna Get a Ton of Pokémon! The Road to Mew!!,23,Journeys
1095,1096,"The Hoenn Region, Site of Fierce Fights! The Battle Frontier Challenge!!",23,Journeys
1096,1097,"Don't Give In, Piplup! An Ice Floe Race in the Sinnoh Region!!",23,Journeys
1097,1098,The Pledge We Made That Day! The Ho-Oh Legend of the Johto Region!!,23,Journeys
1098,1099,The Dragonite Paradise and the Dragonair Trial!,23,Journeys
1099,1100,"Chloe, Yamper, and Sometimes Gengar Too!",23,Journeys
1100,1101,"Dynamax Battle! Leon, The Greatest of Them All!!",23,Journeys
1101,1102,Ash VS Leon! The Path to Power,23,Journeys
1102,1103,The First Visit to the Unova Region! Raid Battle at the Ruins!!,23,Journeys
1103,1104,Snow Day: Where is Cubone's Bone?,23,Journeys
1104,1105,Ash Has Been Cursed...!,23,Journeys
1105,1106,Scorbunny Use Your Flaming Kick! Face Tomorrow!!,23,Journeys
1106,1107,Ash Joins In! The Pokémon World Championships!!,23,Journeys
1107,1108,I Am Ditto!,23,Journeys
1108,1109,Go Towards Your Dream! Ash and Go!!,23,Journeys
1109,1110,"Hit Your Mark, Aura! Ash and the Mysterious Egg!!",23,Journeys
1110,1111,Farewell Raboot!,23,Journeys
1111,1112,Massive Panic! Cerise Park!!,23,Journeys
1112,1113,"Rest, Team Rocket!",23,Journeys
1113,1114,A Battle Festival Exploding With Life! VS Mega Lucario!!,23,Journeys
1114,1115,"Splash! Magikarp
Crown Yourself Slowking",23,Journeys
1115,1116,The Legend of Heroes! Leon's Ultimate Battle!,23,Journeys
1116,1117,Sobble Sobs For What Reason?,23,Journeys
1117,1118,One Crackling Fit of Jealousy: Yamper's Fantasy,23,Journeys
1118,1119,The Reluctant Pikachu & The Exasperated Mr. Mime,23,Journeys
1119,1120,Feebas and the Prism Scale,23,Journeys
1120,1121,Celebi: A Timeless Promise,23,Journeys
1121,1122,Who Wants to Trade Pokémon?,23,Journeys
1122,1123,"Bea, the Lone Warrior! The Grapploct Menace!!",23,Journeys
1123,1124,I Got Pikachu,23,Journeys
1124,1125,"Crawl Out of the Sand Tomb, Ash and Goh!",23,Journeys
1125,1126,"I Am Back! Nice To See You, Alola!",23,Journeys
1126,1127,The Colossal Restoration & The Fossil Pokémon,23,Journeys
1127,1128,Ash VS Bea! Overcome Octolock,23,Journeys
1128,1129,VS Zapdos! Legendary Raid Battle,23,Journeys
1129,1130,"Operation: Dub Pikachu
Half Marshtomp",23,Journeys
1130,1131,Sword & Shield I: Slumbering Weald,23,Journeys
1131,1132,Sword & Shield II: Darkest Day,23,Journeys
1132,1133,Sword & Shield III: Eternatus,23,Journeys
1133,1134,Sword & Shield IV: Ultimate Sword & Shield,23,Journeys
1134,1135,Battling & Getting! Mewtwo Comes Back,23,Journeys
1135,1136,Pokémon Champion! The Battle of Big Eaters!!,23,Journeys
1136,1137,Almost Pikachu Crisis,23,Journeys
1137,1138,Chloe & The Really Mysterious Eevee,24,Master Journeys
